Source Page URL,Name,Address,Tel no,Fax no
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022775,Ayer Rajah Community Centre,150 Pandan Gardens Singapore 609335,65609983,65666901
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022807,Anchorvale Community Club,59 Anchorvale Road Singapore 544965,64894959/,64895269
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022713,Aljunied Community Centre,Block 110 Hougang Avenue 1 #01-1048 Singapore 530110,62823553,62884681
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022757,Ang Mo Kio Community Centre,795 Ang Mo Kio Avenue 1 Singapore 569976,64529644/ 64566536,64580153
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022811,ACE The Place Our Community Club @ Admiralty,Block 547 Woodlands Drive 16 #01-177 Singapore 730547,68913430,68913431
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022789,Gek Poh Ville Community Club,1 Jurong West Street 74 Singapore 649149,67920095/ 67922750,67922748
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022787,Telok Blangah Community Club,450 Telok Blangah Street 31 Singapore 108943,62719602,62786073
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022788,West Coast Community Centre,2 Clementi West Street 2 Singapore 129605,67791098,67767869
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022785,Clementi Community Centre,220 Clementi Avenue 4 Singapore 129880,67781950/ 67761670,67760417
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022786,Dover Community Centre,Block 1 Dover Road #01-300 Singapore 130001,67771540,67774086
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022795,Yew Tee Community Club,20 Chua Chu Kang Street 52 #01-01 Singapore 689286,67693672,67639801
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022794,Nanyang Community Club,60 Jurong West Street 91 Singapore 649040,67910395,67910453
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022793,Lam Soon Community Centre,Block 421 Choa Chu Kang Avenue 4 #01-218 Singapore 680421,67651598,67694524
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022791,Hong Kah North Community Club,30 Bukit Batok Street 31 Singapore 659440,65674048/ 65673130,65671113
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022790,Jurong Green Community Club,6 Jurong West Avenue 1 Singapore 649520,65671374,65690996
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022796,Boon Lay Community Centre,10 Boon Lay Place Singapore 649882,62619947,62650075
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022797,Bukit Gombak Community Centre,Block 386 Bukit Batok West Avenue 5 #01-348 Singapore 650386,65150074 / 65150075,65150071
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022798,Woodlands Galaxy Community Club,31 Woodlands Avenue 6 Singapore 738991,63662218,63663588
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022799,Bukit Panjang Community Club,8 Pending Road Singapore 678295,65060900/65060901,67696161
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022714,Changi Simei Community Club,10 Simei Street 2 Singapore 529915,67816058,67819120
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022715,Eunos Community Club,180 Bedok Reservoir Road Singapore 479220,64486971,64431706
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022718,Punggol Community Club,3 Hougang Avenue 6 Singapore 538808,63871833,63850476
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022719,Punggol Park Community Centre,Block 458 Hougang Avenue 10 #01-405 Singapore 530458,63873036/ 63873038,63871198
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022716,Kampong Kembangan Community Club,5 Lengkong Tiga Singapore 417408,64496022,64437207
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022717,Paya Lebar Kovan Community Club,Block 207 Hougang Street 21 Singapore 530207,62844261/ 62854676,62823384
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022765,Yio Chu Kang Community Club,50 Ang Mo Kio Street 61 Singapore 569163,64570414,64522145
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022766,Bishan Community Club,51 Bishan Street 13 Singapore 579799,62594720,63531912
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022763,Cheng San Community Club,6 Ang Mo Kio Street 53 Singapore 569205,64588222,64581287
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022769,Toa Payoh Central Community Club,93 Toa Payoh Central Singapore 319194,62521249,63544950
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022767,Bishan North Community Centre,Block 233 Bishan Street 22 #01-126 Singapore 570233,64515955,64516535
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022768,Thomson Community Club,194 Upper Thomson Road Singapore 574339,62544550/ 62516344,62537698
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022773,Ulu Pandan Community Club,170 Ghim Moh Road #01-01 Singapore 279621,64693154/ 64637333,64691155
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022772,Taman Jurong Community Club,1 Yung Sheng Road Singapore 618495,62651711,62680073
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022771,Bukit Timah Community Club,20 Toh Yi Drive Singapore 596569,64662912,64685378
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022774,Yuhua Community Club,90 Boon Lay Way Singapore 609958,65600465/ 65604490,65600384
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022776,Chua Chu Kang Community Club,35 Teck Whye Avenue Singapore 688892,67691694,67691687
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022777,Bukit Merah Community Centre,4000 Jalan Bukit Merah Singapore 159465,64741097,64799756
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022778,Buona Vista Community Club,Block 36 Holland Drive #01-01 Singapore 270036,67785163/ 67774169,67792993
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022792,Jurong Spring Community Club,8 Jurong West Street 52 Singapore 649296,65624066/ 65690484,65624834
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022779,Henderson Community Club,500 Bukit Merah View Singapore 159682,62721900/ 62710168,62728483
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022780,Leng Kee Community Centre,400 Lengkok Bahru Singapore 159049,64735007,64736450
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022782,Radin Mas Community Club,1 Telok Blangah Cresent Singapore 098915,62735294,62730768
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022781,Queenstown Community Centre,365 Commonwealth Avenue Singapore 149732,64741681,64757403
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022784,Tiong Bahru Community Centre,67A Eu Chin Street Singapore 169715,62230748/ 62242967,62210034
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022783,Tanjong Pagar Community Club,101 Cantonment Road Singapore 089774,62219898/ 62236847,62225859
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022749,Bedok Community Centre,850 New Upper Changi Road Singapore 467352,64425317/ 64450633,64438086
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022748,Whampoa Community Club,300 Whampoa Drive Singapore 327737,62547060,62546067
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022747,Jalan Besar Community Club,69 Jellicoe Road Singapore 208737,62986110,62941687
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022764,Hwi Yoh Community Centre,Block 535 Serangoon North Avenue 4 #01-179 Singapore 550535,64840338,64840339
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022746,Geylang West Community Club,1205 Upper Boon Keng Road Singapore 387311,67483024,67472753
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022745,Kolam Ayer Community Club,3188 Geylang Bahru Singapore 339717,62935572/ 62964011,62955816
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022744,Siglap South Community Centre,6 Palm Road Singapore 456441,62411925/ 64496951,64420927
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022743,Siglap Community Centre,300 Bedok South Avenue 3 Singapore 469299,64495462/ 64452682,64496575
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022742,Kampong Chai Chee Community Centre,200 Bedok North Avenue 1 Singapore 469752,62419878,64485241
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022741,Potong Pasir Community Club,6 Potong Pasir Avenue 2 Singapore 358361,62801182/ 62879465,62877655
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022750,Fengshan Community Club,20 Bedok North Street 2 Singapore 469644,64495136,62418236
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022751,Joo Chiat Community Club,405 Joo Chiat Road Singapore 427633,63441926,63454857
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022756,Pasir Ris Elias Community Club,93 Pasir Ris Drive 3 Singapore 519498,65831220/ 65852538,65852539
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022770,Teck Ghee Community Club,861 Ang Mo Kio Avenue 10 Singapore 569734,64567124/ 64567123,64567191
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022759,Nee Soon South Community Club,30 Yishun Street 81 Singapore 768455,67533121,67522975
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022753,The Serangoon,10 Serangoon North Avenue 2 Singapore 555877,62856264/ 62844137,62811446
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022752,Kaki Bukit Community Centre,670 Bedok North Street 3 Singapore 469627,64454223/ 62422127,62418261
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022755,Pasir Ris East Community Club,1 Pasir Ris Drive 4 #01-08 Singapore 519457,65842798,65842781
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022754,MacPherson Community Club,400 Paya Lebar Way Singapore 379131,67452940/ 67452946,67422083
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022760,Toa Payoh East Community Club,160 Lorong 6 Toa Payoh Singapore 319380,62567601,62548623
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022762,Toa Payoh West Community Club,200 Lorong 2 Toa Payoh Singapore 319642,62535585,62505121
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022816,Zhenghua Community Club,1 Segar Road Singapore 677738,63106702/ 63106413,63106703
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022815,Sengkang Community Club,2 Sengkang Square #01-01 Sengkang Community Hub Singapore 545025,63125400,63128696
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022729,Geylang Serai Community Club,99 Haig Road Singapore 438748,67472919,67445460
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022818,Woodgrove Community Centre,Blk 353 Woodlands Avenue 1 #01-753 Singapore 730353,63669010,63663051
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022728,Bukit Batok Community Club,21 Bukit Batok Central Singapore 659959,65646317,65668557
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022727,Tampines West Community Club,5 Tampines Avenue 3 Singapore 529705,67886202/ 67837910,67854875
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022721,Hougang Community Club,35 Hougang Avenue 3 Singapore 538840,62828887,62827136
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022720,Ci Yuan Community Centre,Block 662 Hougang Avenue 4 #01-413 Singapore 530662,63863717,63879015
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022810,Bukit Batok East Community Club,23 Bukit Batok East Avenue 4 Singapore 659841,65659330/ 65691678,65656057
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022726,Tampines East Community Club,10 Tampines Street 23 Singapore 529341,67863227,67863449
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022812,Canberra Community Club,02 Sembawang Crescent #01-01 Singapore 757632,67556369,67554101
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022725,Tampines Central Community Club,Block 866A Tampines Street 83 #02-01 Singapore 521866,67850004 / 67858292,67868952
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022724,Tampines Changkat Community Club,13 Tampines Street 11 Singapore 529453,67811806,67860666
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022814,Senja-Cashew Community Centre,101 Bukit Panjang Road (Opposite Bukit Panjang Plaza) Singapore 679910,62194561,62194564
